industry,name,quoteType,sector,symbol
Medical Instruments & Supplies,NovoCure Limited,EQUITY,Healthcare,NVCR
Biotechnology,"VBI Vaccines, Inc.",EQUITY,Healthcare,VBIV
Specialty Retail,"Volta, Inc.",EQUITY,Consumer Cyclical,VLTA
Mortgage Finance,Altisource Portfolio Solutions ,EQUITY,Financial Services,ASPS
Software—Infrastructure,Intrusion Inc.,EQUITY,Technology,INTZ
Biotechnology,"Adverum Biotechnologies, Inc.",EQUITY,Healthcare,ADVM
Pollution & Treatment Controls,"Fuel Tech, Inc.",EQUITY,Industrials,FTEK
Semiconductors,SemiLEDS Corporation,EQUITY,Technology,LEDS
Biotechnology,"Intercept Pharmaceuticals, Inc.",EQUITY,Healthcare,ICPT
Drug Manufacturers—Specialty & Generic,"SCYNEXIS, Inc.",EQUITY,Healthcare,SCYX
Packaged Foods,"TDH Holdings, Inc.",EQUITY,Consumer Defensive,PETZ
Biotechnology,ProQR Therapeutics N.V.,EQUITY,Healthcare,PRQR
Biotechnology,Immutep Limited,EQUITY,Healthcare,IMMP
Drug Manufacturers—Specialty & Generic,"cbdMD, Inc.",EQUITY,Healthcare,YCBD
Beverages—Non-Alcoholic,"NewAge, Inc.",EQUITY,Consumer Defensive,NBEV
Medical Devices,"Sientra, Inc.",EQUITY,Healthcare,SIEN
Solar,"SolarEdge Technologies, Inc.",EQUITY,Technology,SEDG
Telecom Services,"Cogent Communications Holdings,",EQUITY,Communication Services,CCOI
Discount Stores,Costco Wholesale Corporation,EQUITY,Consumer Defensive,COST
Credit Services,"FirstCash Holdings, Inc.",EQUITY,Financial Services,FCFS
"Furnishings, Fixtures & Appliances","Bassett Furniture Industries, I",EQUITY,Consumer Cyclical,BSET
Specialty Industrial Machinery,American Superconductor Corpora,EQUITY,Industrials,AMSC
"Furnishings, Fixtures & Appliances","Purple Innovation, Inc.",EQUITY,Consumer Cyclical,PRPL
Aerospace & Defense,"Cadre Holdings, Inc.",EQUITY,Industrials,CDRE
Biotechnology,"Exelixis, Inc.",EQUITY,Healthcare,EXEL
Semiconductors,"Cirrus Logic, Inc.",EQUITY,Technology,CRUS
Entertainment,"Netflix, Inc.",EQUITY,Communication Services,NFLX
REIT—Mortgage,Ares Commercial Real Estate Cor,EQUITY,Real Estate,ACRE
Software—Application,"SmartRent, Inc.",EQUITY,Technology,SMRT
Oil & Gas E&P,"Riley Exploration Permian, Inc.",EQUITY,Energy,REPX
Software—Application,Freshworks Inc.,EQUITY,Technology,FRSH
Biotechnology,"First Wave BioPharma, Inc.",EQUITY,Healthcare,FWBI
Credit Services,"Barings BDC, Inc.",EQUITY,Financial Services,BBDC
Medical Devices,"ShockWave Medical, Inc.",EQUITY,Healthcare,SWAV
Education & Training Services,"2U, Inc.",EQUITY,Consumer Defensive,TWOU
Medical Care Facilities,AMACORE GROUP INC,EQUITY,Healthcare,ACGI
Restaurants,Jack In The Box Inc.,EQUITY,Consumer Cyclical,JACK
Biotechnology,"Xeris Biopharma Holdings, Inc.",EQUITY,Healthcare,XERS
Auto Manufacturers,Ferrari N.V.,EQUITY,Consumer Cyclical,RACE
Advertising Agencies,Stagwell Inc.,EQUITY,Communication Services,STGW
Airlines,"SkyWest, Inc.",EQUITY,Industrials,SKYW
Internet Content & Information,Genius Sports Limited,EQUITY,Communication Services,GENI
REIT—Diversified,"CorEnergy Infrastructure Trust,",EQUITY,Real Estate,CORR
Information Technology Services,Innodata Inc.,EQUITY,Technology,INOD
Oil & Gas E&P,"PDC Energy, Inc.",EQUITY,Energy,PDCE
Biotechnology,Myovant Sciences Ltd.,EQUITY,Healthcare,MYOV
Specialty Chemicals,INDUSTRIAL NANOTECH INC,EQUITY,Basic Materials,INTK
Household & Personal Products,The Beauty Health Company,EQUITY,Consumer Defensive,SKIN
Diagnostics & Research,"OpGen, Inc.",EQUITY,Healthcare,OPGN
Internet Retail,"Amazon.com, Inc.",EQUITY,Consumer Cyclical,AMZN
Financial Conglomerates,"LendingTree, Inc.",EQUITY,Financial Services,TREE
Marine Shipping,Golden Ocean Group Limited,EQUITY,Industrials,GOGL
